capacity_id,service_id,date,cpu_utilization_pct,memory_utilization_pct,storage_utilization_pct,active_connections,request_volume
114,SRV-002,2025-06-29,46.88,44.24,32.79,2222,14846
115,SRV-003,2025-06-29,41.5,44.15,32.59,2928,24177
116,SRV-004,2025-06-29,25.35,23.6,28.4,557,5040
117,SRV-005,2025-06-29,41.39,42.1,28.18,2246,14549
118,SRV-006,2025-06-29,23.09,31.05,32.08,598,5429
119,SRV-007,2025-06-29,29.27,30.29,32.47,442,4288
120,SRV-008,2025-06-29,41.0,42.55,32.6,2337,15117
121,SRV-001,2025-06-30,29.82,30.88,31.91,1165,22681
122,SRV-002,2025-06-30,48.09,43.33,29.56,5742,81563
123,SRV-003,2025-06-30,42.43,48.78,31.25,4235,44623
124,SRV-004,2025-06-30,26.61,29.31,31.31,877,9820
125,SRV-005,2025-06-30,45.6,46.2,34.1,4301,85690
126,SRV-006,2025-06-30,34.74,33.39,34.91,857,15960
127,SRV-007,2025-06-30,16.62,24.99,34.91,925,9786
128,SRV-008,2025-06-30,39.19,51.6,32.03,4316,77049
129,SRV-001,2025-07-01,18.3,27.4,32.07,1006,14862
130,SRV-002,2025-07-01,46.48,51.86,35.25,5900,103654
131,SRV-003,2025-07-01,36.58,41.44,34.05,4588,86116
132,SRV-004,2025-07-01,17.58,28.21,30.93,847,8857
133,SRV-005,2025-07-01,45.68,49.56,32.84,5057,85300
134,SRV-006,2025-07-01,35.38,27.92,33.93,885,16876
135,SRV-007,2025-07-01,16.11,24.27,35.98,916,9360
136,SRV-008,2025-07-01,38.67,52.02,34.45,4893,80260
137,SRV-001,2025-07-02,28.17,29.79,29.4,873,16029
138,SRV-002,2025-07-02,38.15,47.61,29.49,4599,78268
139,SRV-003,2025-07-02,49.68,41.22,31.67,4303,65418
140,SRV-004,2025-07-02,29.66,27.09,35.26,1037,16775
141,SRV-005,2025-07-02,51.72,48.62,33.03,5698,104358
142,SRV-006,2025-07-02,22.95,27.13,30.31,1059,20230
143,SRV-007,2025-07-02,25.29,24.36,29.1,863,9583
144,SRV-008,2025-07-02,46.14,55.66,34.4,4280,73769
145,SRV-001,2025-07-03,28.65,27.8,35.98,940,9870
146,SRV-002,2025-07-03,53.93,54.42,31.61,5547,79099
147,SRV-003,2025-07-03,52.92,54.36,28.74,4372,72015
148,SRV-004,2025-07-03,33.42,34.99,30.68,1122,15400
149,SRV-005,2025-07-03,38.35,47.21,32.0,5823,98403
150,SRV-006,2025-07-03,24.03,34.03,30.05,878,15157
151,SRV-007,2025-07-03,32.68,22.55,35.57,1032,16191
152,SRV-008,2025-07-03,48.38,52.98,33.14,5889,110710
153,SRV-001,2025-07-04,33.53,28.11,32.45,1194,17201
154,SRV-002,2025-07-04,48.95,41.14,34.72,5157,89918
155,SRV-003,2025-07-04,40.86,55.89,35.15,5211,87974
156,SRV-004,2025-07-04,24.3,31.71,32.34,1099,18039
157,SRV-005,2025-07-04,52.45,54.41,32.98,4115,79599
158,SRV-006,2025-07-04,24.99,28.19,30.06,1133,14962
159,SRV-007,2025-07-04,21.1,28.27,32.65,976,17734
160,SRV-008,2025-07-04,44.75,49.57,29.26,5104,67171
161,SRV-001,2025-07-05,30.7,21.26,32.01,323,2501
162,SRV-002,2025-07-05,52.3,56.09,33.56,2938,22950
163,SRV-003,2025-07-05,45.45,46.6,34.77,2815,25958
164,SRV-004,2025-07-05,30.88,29.67,33.82,419,3043
165,SRV-005,2025-07-05,49.06,41.02,31.14,2504,22534
166,SRV-006,2025-07-05,23.1,22.37,35.21,461,4199
167,SRV-007,2025-07-05,23.88,24.69,30.42,347,3213
168,SRV-008,2025-07-05,52.46,43.95,31.09,2699,14122
169,SRV-001,2025-07-06,29.1,22.66,35.22,451,3583
170,SRV-002,2025-07-06,55.48,41.42,34.06,2399,17186
171,SRV-003,2025-07-06,54.76,53.14,35.32,2618,15363
172,SRV-004,2025-07-06,17.8,30.77,33.33,410,3856
173,SRV-005,2025-07-06,48.31,51.66,30.59,2156,14476
174,SRV-006,2025-07-06,31.61,22.72,32.99,580,4385
175,SRV-007,2025-07-06,26.69,25.63,34.26,483,2939
176,SRV-008,2025-07-06,50.26,51.39,35.17,1740,14880
177,SRV-001,2025-07-07,19.35,29.12,33.64,1126,19826
178,SRV-002,2025-07-07,47.91,55.55,33.91,5515,104446
179,SRV-003,2025-07-07,53.78,47.72,29.01,4342,59957
180,SRV-004,2025-07-07,16.55,24.53,34.13,1218,20503
181,SRV-005,2025-07-07,37.16,52.8,30.12,5198,70624
182,SRV-006,2025-07-07,27.9,30.86,32.8,915,15071
183,SRV-007,2025-07-07,25.77,32.65,33.71,1107,11590
184,SRV-008,2025-07-07,44.44,53.07,33.62,6095,64229
185,SRV-001,2025-07-08,19.76,33.9,35.07,1011,12390
186,SRV-002,2025-07-08,50.5,46.99,33.1,5655,67660
187,SRV-003,2025-07-08,40.25,48.28,35.92,4292,84229
188,SRV-004,2025-07-08,18.08,21.48,30.99,937,10877
189,SRV-005,2025-07-08,36.59,48.66,35.67,4230,81580
190,SRV-006,2025-07-08,31.11,30.18,34.86,949,16986
191,SRV-007,2025-07-08,17.08,31.39,32.61,1219,18536
192,SRV-008,2025-07-08,39.62,49.75,31.9,4866,91646
193,SRV-001,2025-07-09,22.29,25.24,35.65,1082,15957
194,SRV-002,2025-07-09,51.29,51.14,29.74,4838,60008
195,SRV-003,2025-07-09,54.69,45.14,29.26,5960,82329
196,SRV-004,2025-07-09,17.99,24.75,34.15,838,12711
197,SRV-005,2025-07-09,46.7,49.22,32.47,4755,78530
198,SRV-006,2025-07-09,17.18,22.1,35.59,1138,17447
199,SRV-007,2025-07-09,19.87,30.26,30.47,1109,20357
200,SRV-008,2025-07-09,52.54,54.26,33.91,4987,90601
201,SRV-001,2025-07-10,29.15,20.89,33.66,832,8929
202,SRV-002,2025-07-10,40.98,42.12,34.46,5959,83880
203,SRV-003,2025-07-10,44.25,46.05,31.6,4359,43847
204,SRV-004,2025-07-10,16.95,32.05,29.35,1178,15993
205,SRV-005,2025-07-10,42.0,51.64,33.15,4700,90554
206,SRV-006,2025-07-10,32.0,21.15,29.92,912,15930
207,SRV-007,2025-07-10,32.71,25.32,33.52,952,17964
208,SRV-008,2025-07-10,53.92,51.49,35.88,4180,78365
209,SRV-001,2025-07-11,16.29,29.16,31.44,1042,11307
210,SRV-002,2025-07-11,50.8,51.98,30.21,5951,110180
211,SRV-003,2025-07-11,39.59,50.28,30.45,4325,72269
212,SRV-004,2025-07-11,16.71,32.05,35.87,1051,17285
213,SRV-005,2025-07-11,49.29,44.73,30.03,5271,102865
214,SRV-006,2025-07-11,28.97,24.2,30.81,850,10144
215,SRV-007,2025-07-11,22.16,30.63,33.75,886,13882
216,SRV-008,2025-07-11,55.62,44.16,31.28,5772,98828
217,SRV-001,2025-07-12,21.19,26.21,33.74,412,3048
218,SRV-002,2025-07-12,51.65,48.61,29.63,2539,13735
219,SRV-003,2025-07-12,52.55,54.52,30.14,2666,21682
220,SRV-004,2025-07-12,33.53,33.61,33.46,562,4436
221,SRV-005,2025-07-12,40.67,42.14,30.89,2941,22640
222,SRV-006,2025-07-12,18.63,26.71,35.23,492,4568
223,SRV-007,2025-07-12,25.48,21.93,31.23,310,1920
224,SRV-008,2025-07-12,56.21,52.03,34.48,1777,10299
225,SRV-001,2025-07-13,26.94,33.87,29.96,535,5187
226,SRV-002,2025-07-13,51.06,44.41,30.47,1889,15759
227,SRV-003,2025-07-13,52.04,47.19,35.34,2908,15120
228,SRV-004,2025-07-13,17.72,35.35,33.42,394,3431
229,SRV-005,2025-07-13,47.67,47.07,31.6,2456,23310
230,SRV-006,2025-07-13,20.46,35.13,30.21,430,3907
231,SRV-007,2025-07-13,31.39,33.98,28.85,579,4168
232,SRV-008,2025-07-13,46.27,45.32,29.79,1778,14241
233,SRV-001,2025-07-14,28.95,27.13,31.4,876,14675
234,SRV-002,2025-07-14,48.0,51.04,31.76,4620,52108
235,SRV-003,2025-07-14,38.97,49.12,35.19,4430,51668
236,SRV-004,2025-07-14,26.1,27.04,35.94,1095,20569
237,SRV-005,2025-07-14,52.81,55.76,30.55,5393,79353
238,SRV-006,2025-07-14,19.98,26.9,29.89,1063,18788
239,SRV-007,2025-07-14,25.87,23.33,33.77,1206,19254
240,SRV-008,2025-07-14,43.42,42.95,28.76,5153,98388
241,SRV-001,2025-07-15,32.2,29.92,30.25,1199,19181
242,SRV-002,2025-07-15,47.13,52.98,29.78,5518,104951
243,SRV-003,2025-07-15,36.26,55.45,33.67,5012,71204
244,SRV-004,2025-07-15,29.7,27.37,35.69,1030,18217
245,SRV-005,2025-07-15,52.17,54.83,34.67,5291,75422
246,SRV-006,2025-07-15,30.82,34.28,29.34,1065,16440
247,SRV-007,2025-07-15,15.61,31.78,28.8,1034,15714
248,SRV-008,2025-07-15,40.21,53.3,31.69,4329,61734
249,SRV-001,2025-07-16,20.86,28.83,32.9,1077,21451
250,SRV-002,2025-07-16,40.19,49.54,32.74,4479,69831
251,SRV-003,2025-07-16,55.96,50.0,34.31,4938,56197
252,SRV-004,2025-07-16,18.13,24.38,34.6,1223,13456
253,SRV-005,2025-07-16,51.93,53.37,33.2,5531,58189
254,SRV-006,2025-07-16,28.27,32.76,34.6,1016,16258
255,SRV-007,2025-07-16,20.7,26.11,32.92,1113,21488
256,SRV-008,2025-07-16,49.24,45.56,35.59,4230,75023
257,SRV-001,2025-07-17,25.36,20.75,34.66,1199,18202
258,SRV-002,2025-07-17,51.63,48.73,33.61,5355,89644
259,SRV-003,2025-07-17,49.19,55.86,29.42,4675,65423
260,SRV-004,2025-07-17,23.78,23.84,29.11,1117,21437
261,SRV-005,2025-07-17,50.76,49.78,33.01,4840,87870
262,SRV-006,2025-07-17,34.75,27.43,31.56,821,9647
263,SRV-007,2025-07-17,26.78,28.3,31.28,872,13195
264,SRV-008,2025-07-17,46.76,53.03,30.51,5008,68964
265,SRV-001,2025-07-18,20.46,25.84,34.32,1104,20937
266,SRV-002,2025-07-18,46.13,45.54,31.8,5785,70599
267,SRV-003,2025-07-18,52.36,47.72,31.49,5243,89173
268,SRV-004,2025-07-18,21.25,26.62,34.0,960,14923
269,SRV-005,2025-07-18,42.22,44.34,32.72,4468,78018
270,SRV-006,2025-07-18,19.58,32.02,30.8,931,11780
271,SRV-007,2025-07-18,32.19,33.16,31.23,1138,12744
272,SRV-008,2025-07-18,54.98,48.36,28.69,5837,114288
273,SRV-001,2025-07-19,23.16,25.66,35.4,585,4605
274,SRV-002,2025-07-19,39.68,52.61,32.34,2150,18814
275,SRV-003,2025-07-19,46.42,47.36,35.25,1583,10663
276,SRV-004,2025-07-19,31.26,27.79,29.96,472,3104
277,SRV-005,2025-07-19,49.29,46.6,29.31,2083,19391
278,SRV-006,2025-07-19,20.73,24.63,35.42,412,2438
279,SRV-007,2025-07-19,23.95,31.99,31.41,432,3133
280,SRV-008,2025-07-19,55.84,51.7,34.64,2662,24012
281,SRV-001,2025-07-20,32.75,23.72,34.53,537,3954
282,SRV-002,2025-07-20,44.24,42.93,34.86,2495,19136
283,SRV-003,2025-07-20,45.78,44.95,34.8,1612,8857
284,SRV-004,2025-07-20,19.77,24.4,34.57,336,2930
285,SRV-005,2025-07-20,43.21,49.5,34.43,2067,14590
286,SRV-006,2025-07-20,29.13,29.76,32.85,508,3907
287,SRV-007,2025-07-20,21.48,25.87,32.76,553,4000
288,SRV-008,2025-07-20,48.14,47.93,35.34,2862,23476
289,SRV-001,2025-07-21,24.21,30.15,31.99,1207,13024
290,SRV-002,2025-07-21,42.34,51.0,33.78,5350,74656
291,SRV-003,2025-07-21,52.13,55.78,34.37,5232,75879
292,SRV-004,2025-07-21,32.55,22.46,30.34,921,16061
293,SRV-005,2025-07-21,40.61,47.53,29.72,6079,89554
294,SRV-006,2025-07-21,30.84,28.39,35.6,859,13899
295,SRV-007,2025-07-21,34.07,26.39,30.26,1118,16134
296,SRV-008,2025-07-21,46.44,43.57,28.92,4819,92296
297,SRV-001,2025-07-22,25.09,34.0,35.66,1057,11998
298,SRV-002,2025-07-22,47.34,50.62,32.36,5712,107231
299,SRV-003,2025-07-22,48.94,49.3,35.22,5105,62644
300,SRV-004,2025-07-22,21.59,26.73,29.74,821,12506
301,SRV-005,2025-07-22,39.13,45.88,32.8,5564,83011
302,SRV-006,2025-07-22,21.69,32.37,34.64,1075,19315
303,SRV-007,2025-07-22,19.39,34.01,31.99,927,15897
304,SRV-008,2025-07-22,52.89,44.79,29.54,5423,82245
305,SRV-001,2025-07-23,27.98,31.31,30.98,1097,16805
306,SRV-002,2025-07-23,39.78,42.17,29.72,4327,62972
307,SRV-003,2025-07-23,50.17,48.69,31.12,4429,87238
308,SRV-004,2025-07-23,34.86,24.74,29.49,995,10031
309,SRV-005,2025-07-23,36.17,44.24,31.6,5692,85288
310,SRV-006,2025-07-23,29.49,21.16,29.38,1130,12950
311,SRV-007,2025-07-23,23.36,28.78,30.03,1187,14838
312,SRV-008,2025-07-23,36.36,55.86,33.83,4901,96793
313,SRV-001,2025-07-24,35.39,23.61,33.9,858,14294
314,SRV-002,2025-07-24,43.75,55.51,35.28,4421,76405
315,SRV-003,2025-07-24,47.39,43.4,32.42,4758,64729
316,SRV-004,2025-07-24,28.75,35.13,30.28,994,10089
317,SRV-005,2025-07-24,48.13,47.55,30.78,6150,97236
318,SRV-006,2025-07-24,29.44,23.17,34.41,929,13934
319,SRV-007,2025-07-24,22.44,35.39,34.33,851,11535
320,SRV-008,2025-07-24,46.65,42.65,32.11,4740,73865
321,SRV-001,2025-07-25,22.6,34.2,34.12,835,11504
322,SRV-002,2025-07-25,41.39,42.14,33.98,5294,81672
323,SRV-003,2025-07-25,47.53,49.5,31.16,5083,94933
324,SRV-004,2025-07-25,32.85,23.2,32.68,1011,18394
325,SRV-005,2025-07-25,45.31,53.03,32.47,5635,106103
326,SRV-006,2025-07-25,22.93,30.11,31.22,852,16760
327,SRV-007,2025-07-25,19.53,31.16,34.45,893,11458
328,SRV-008,2025-07-25,42.57,42.71,33.46,4202,81426
329,SRV-001,2025-07-26,16.1,22.2,30.05,316,2593
330,SRV-002,2025-07-26,45.91,50.61,32.97,1617,9869
331,SRV-003,2025-07-26,36.64,55.36,33.62,2991,27398
332,SRV-004,2025-07-26,28.37,26.15,34.09,583,5311
333,SRV-005,2025-07-26,37.6,50.87,32.78,2694,24710
334,SRV-006,2025-07-26,19.75,28.33,29.36,377,2611
335,SRV-007,2025-07-26,28.61,29.15,35.35,478,3723
336,SRV-008,2025-07-26,51.72,50.22,33.77,2643,18858
337,SRV-001,2025-07-27,31.29,28.8,32.2,508,3896
338,SRV-002,2025-07-27,54.95,54.98,32.81,3091,28512
339,SRV-003,2025-07-27,48.79,53.66,31.11,1913,14783
340,SRV-004,2025-07-27,26.55,31.86,31.35,447,4380
341,SRV-005,2025-07-27,36.49,45.17,28.71,1736,16408
342,SRV-006,2025-07-27,35.09,23.73,30.81,542,5266
343,SRV-007,2025-07-27,34.11,28.58,33.09,488,2670
344,SRV-008,2025-07-27,39.29,45.29,35.1,1929,12116
345,SRV-001,2025-07-28,26.93,29.19,30.3,852,11286
346,SRV-002,2025-07-28,45.95,54.82,33.81,5806,63596
347,SRV-003,2025-07-28,37.06,53.6,31.66,5742,110353
348,SRV-004,2025-07-28,33.13,27.18,35.31,870,15402
349,SRV-005,2025-07-28,53.39,55.5,33.49,5448,57428
350,SRV-006,2025-07-28,22.0,29.24,31.2,1112,12823
351,SRV-007,2025-07-28,35.62,35.4,34.27,1064,11598
352,SRV-008,2025-07-28,51.87,43.51,31.21,5093,88888
353,SRV-001,2025-07-29,20.87,26.75,31.97,1112,19593
354,SRV-002,2025-07-29,40.15,47.26,32.89,5274,105325
355,SRV-003,2025-07-29,41.07,45.37,31.93,5533,87201
356,SRV-004,2025-07-29,23.72,26.04,30.0,958,15858
357,SRV-005,2025-07-29,39.8,46.84,34.81,5803,94193
358,SRV-006,2025-07-29,34.06,24.22,33.66,887,15331
359,SRV-007,2025-07-29,30.23,24.19,33.0,877,16070
360,SRV-008,2025-07-29,42.9,53.22,30.91,5069,67512
361,SRV-001,2025-07-30,19.93,29.07,34.3,1054,17106
362,SRV-002,2025-07-30,50.5,51.82,31.83,6043,92264
363,SRV-003,2025-07-30,37.21,44.14,33.63,4656,68208
364,SRV-004,2025-07-30,17.11,30.88,33.81,1210,16458
365,SRV-005,2025-07-30,41.74,54.25,31.37,6091,91885
366,SRV-006,2025-07-30,33.76,28.12,33.21,863,10346
367,SRV-007,2025-07-30,27.0,31.67,29.46,1214,15841
368,SRV-008,2025-07-30,51.08,41.62,33.68,4851,63175
369,SRV-001,2025-07-31,35.37,25.14,29.63,939,13025
370,SRV-002,2025-07-31,56.41,55.96,35.84,4629,62111
371,SRV-003,2025-07-31,38.86,52.2,32.48,5505,103092
372,SRV-004,2025-07-31,24.02,29.44,32.0,956,15347
373,SRV-005,2025-07-31,38.79,51.09,32.94,5523,66403
374,SRV-006,2025-07-31,29.23,34.05,35.05,994,18975
375,SRV-007,2025-07-31,28.83,29.36,30.17,856,13122
376,SRV-008,2025-07-31,40.06,54.14,30.05,4198,55358
377,SRV-001,2025-08-01,35.8,26.52,35.59,1217,19920
378,SRV-002,2025-08-01,40.82,45.95,31.01,4334,86071
379,SRV-003,2025-08-01,49.7,52.1,34.11,4750,48739
380,SRV-004,2025-08-01,31.46,23.09,35.22,1030,16990
381,SRV-005,2025-08-01,44.64,49.24,30.57,4663,65682
382,SRV-006,2025-08-01,35.08,36.22,31.92,1152,13856
383,SRV-007,2025-08-01,19.51,35.53,32.52,1097,18515
384,SRV-008,2025-08-01,55.74,49.77,35.67,5605,102253
385,SRV-001,2025-08-02,24.26,35.81,34.07,492,4037
386,SRV-002,2025-08-02,38.5,44.71,33.24,3008,28241
387,SRV-003,2025-08-02,47.75,57.0,29.77,2184,19275
388,SRV-004,2025-08-02,20.37,28.56,36.55,573,3684
389,SRV-005,2025-08-02,42.75,55.89,34.23,2988,21865
390,SRV-006,2025-08-02,18.13,29.16,31.23,506,4792
391,SRV-007,2025-08-02,24.1,26.4,30.03,463,4390
392,SRV-008,2025-08-02,55.68,44.77,32.54,2660,22762
393,SRV-001,2025-08-03,30.6,22.53,34.34,513,2783
394,SRV-002,2025-08-03,52.27,57.7,34.33,1858,14402
395,SRV-003,2025-08-03,40.09,46.91,35.35,2910,16908
396,SRV-004,2025-08-03,31.3,21.91,31.53,542,5314
397,SRV-005,2025-08-03,40.68,55.8,36.27,1582,13964
398,SRV-006,2025-08-03,25.76,28.49,34.87,501,3741
399,SRV-007,2025-08-03,29.16,28.02,32.55,503,2531
400,SRV-008,2025-08-03,43.57,52.82,36.0,1947,11534
401,SRV-001,2025-08-04,22.82,23.24,29.49,1074,17219
402,SRV-002,2025-08-04,38.88,44.03,36.55,4552,58465
403,SRV-003,2025-08-04,51.65,51.57,33.93,6326,110662
404,SRV-004,2025-08-04,16.8,32.89,31.89,1222,22243
405,SRV-005,2025-08-04,54.68,44.14,33.41,4542,84454
406,SRV-006,2025-08-04,24.34,24.48,31.06,867,13623
407,SRV-007,2025-08-04,27.16,23.29,35.44,1124,20099
408,SRV-008,2025-08-04,46.27,55.79,31.87,5501,89294
409,SRV-001,2025-08-05,28.83,29.37,35.42,1076,19453
410,SRV-002,2025-08-05,42.67,47.75,31.62,4555,66725
411,SRV-003,2025-08-05,52.62,46.34,34.46,5176,54114
412,SRV-004,2025-08-05,32.2,24.53,34.1,1134,14225
413,SRV-005,2025-08-05,42.71,50.17,34.65,4408,58771
414,SRV-006,2025-08-05,27.5,35.8,35.5,926,16981
415,SRV-007,2025-08-05,26.12,29.04,30.56,919,10617
416,SRV-008,2025-08-05,54.64,56.07,32.99,5957,114838
417,SRV-001,2025-08-06,26.27,29.53,34.01,1065,10849
418,SRV-002,2025-08-06,44.16,56.58,35.46,4393,50488
419,SRV-003,2025-08-06,44.73,48.94,33.95,4650,74664
420,SRV-004,2025-08-06,18.29,32.92,31.58,1197,20466
421,SRV-005,2025-08-06,38.77,55.44,32.13,5946,77454
422,SRV-006,2025-08-06,19.72,27.14,30.09,934,10204
423,SRV-007,2025-08-06,32.19,35.08,30.89,992,14716
424,SRV-008,2025-08-06,44.21,48.28,35.64,4511,89420
425,SRV-001,2025-08-07,36.07,24.59,30.08,1012,18871
